CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.989714547
C0001,C0190,0.986582649
C0001,C0048,0.97566759
C0002,C0088,0.96635744
C0002,C0134,0.941709223
C0002,C0097,0.934199847
C0003,C0052,0.996258364
C0003,C0152,0.983552414
C0003,C0001,0.975084669
C0004,C0165,0.973830605
C0004,C0155,0.952873831
C0004,C0169,0.867274452
C0005,C0186,0.987893524
C0005,C0159,0.982515947
C0005,C0146,0.976802748
C0006,C0168,0.978264001
C0006,C0171,0.938756418
C0006,C0187,0.933022647
C0007,C0140,0.979118222
C0007,C0080,0.973883603
C0007,C0110,0.973098351
C0008,C0084,0.909497882
C0008,C0154,0.895854211
C0008,C0113,0.889566287
C0009,C0010,0.976066963
C0009,C0198,0.952035138
C0009,C0060,0.942913651
C0010,C0009,0.976066963
C0010,C0111,0.970850476
C0010,C0103,0.955296872
C0011,C0137,0.924372866
C0011,C0169,0.868335679
C0011,C0126,0.865330123
C0012,C0039,0.982031616
C0012,C0104,0.975488217
C0012,C0113,0.974178439
C0013,C0099,0.985564436
C0013,C0188,0.976167607
C0013,C0102,0.939384994
C0014,C0060,0.981790463
C0014,C0199,0.950127912
C0014,C0151,0.945461472
C0015,C0036,0.983469267
C0015,C0131,0.977281694
C0015,C0058,0.920008057
C0016,C0183,0.999875002
C0016,C0026,0.923776679
C0016,C0067,0.916865552
C0017,C0075,0.969205086
C0017,C0081,0.820893492
C0017,C0057,0.798796972
C0018,C0117,0.929913117
C0018,C0185,0.804356132
C0018,C0046,0.770765566
C0019,C0121,0.889766121
C0019,C0111,0.84296203
C0019,C0081,0.784356518
C0020,C0042,0.962254976
C0020,C0176,0.960485811
C0020,C0080,0.908009656
